wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/okeren/.netrc.
wandb: Currently logged in as: uri-koren (uri-koren-technion-israel-institute-of-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ohxi7l1i
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/okeren/RobustRL/wandb/run-20260618_072657-ohxi7l1i
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Walker2d-v5__baseline__3__1781782015
wandb: ⭐️ View project at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL
wandb: 🚀 View run at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL/runs/ohxi7l1i
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=448, return=-5.452531956730498
global_step=576, return=-3.8916289370249064
global_step=576, return=-4.1692845710239395
global_step=640, return=-4.7402618804594425
global_step=640, return=-2.269244535880216
global_step=640, return=-2.6755878348862674
global_step=704, return=-0.94896793317907
global_step=704, return=-3.4488637674252587
global_step=704, return=-2.157705037142062
global_step=704, return=-3.0619065524145523
global_step=768, return=-2.1162532915212156
global_step=768, return=-9.12552956730206
global_step=768, return=1.7298298903068274
global_step=768, return=-2.491707638369016
global_step=768, return=-0.45415563003624504
global_step=768, return=-1.2573715679424322
global_step=768, return=-1.0189461685206445
global_step=768, return=-1.1244409131331907
global_step=832, return=-0.7556433345719821
global_step=832, return=-1.4732890034676005
global_step=896, return=-0.1091900126638583
global_step=896, return=-2.280537734179552
global_step=896, return=-4.855807912825773
global_step=896, return=-3.620079690599345
global_step=960, return=0.4653954196706653
global_step=960, return=2.840391308025209
global_step=960, return=-1.5828978360952255
global_step=1024, return=-6.477010744071913
global_step=1024, return=-0.5829283185963277
global_step=1088, return=-1.2976505019497864
global_step=1088, return=5.22122979721709
global_step=1088, return=-0.9909373757770636
global_step=1088, return=3.4719779851573915
global_step=1088, return=-4.826461572708329
global_step=1152, return=-14.01345689430365
global_step=1216, return=-2.8238267651901507
global_step=1216, return=0.9928835914540395
global_step=1216, return=-12.147907119629815
global_step=1216, return=5.248233660717211
global_step=1280, return=-8.09499405446789
global_step=1344, return=-6.247501951835061
global_step=1344, return=-3.4316218463773382
global_step=1344, return=0.25794072206261065
